,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1752814876,5.0,0.0,1.0,5.0,0.000221,0.00015,210.0,88.0,0.019676672180431835,0.019676672180431835
1,1752814881,5.0,0.0,1.0,5.0,0.000221,0.00015,210.0,88.0,0.021591637904981854,0.021591637904981854
2,1752814886,5.0,0.0,1.0,5.0,0.000221,0.00015,210.0,88.0,0.0007840387477622919,0.0007840387477622919
3,1752814891,5.0,0.0,1.0,5.0,0.000221,0.00015,210.0,88.0,0.000992586735198181,0.000992586735198181
4,1752814896,5.0,0.0,1.0,5.0,0.000221,0.00015,210.0,88.0,0.000992586735198181,0.000992586735198181
5,1752814901,5.0,0.0,1.0,5.0,0.000221,0.00015,210.0,88.0,0.0008530235258585655,0.0008530235258585655
6,1752814906,5.0,0.0,1.0,5.0,0.000339,0.0,210.0,89.0,0.0010819377466023629,0.0010819377466023629
7,1752814911,5.0,0.0,1.0,5.0,0.000339,0.0,210.0,89.0,0.0010819377466023629,0.0010819377466023629
8,1752814916,5.0,0.0,1.0,5.0,0.000339,0.0,210.0,89.0,0.0010819377466023629,0.0010819377466023629
9,1752814921,5.0,0.0,1.0,5.0,0.000339,0.0,210.0,89.0,0.0009455041466608469,0.0009455041466608469
10,1752814926,5.0,0.0,1.0,5.0,0.000339,0.0,210.0,89.0,0.0009455041466608469,0.0009455041466608469
11,1752814931,5.0,0.0,1.0,5.0,0.000339,0.0,210.0,89.0,0.0008784698603958207,0.0008784698603958207
12,1752814936,5.0,0.0,1.0,5.0,0.0002,0.0,210.0,89.0,0.000857468300021496,0.000857468300021496
13,1752814941,5.0,0.0,1.0,5.0,0.0002,0.0,210.0,89.0,0.000857468300021496,0.000857468300021496
14,1752814946,5.0,0.0,1.0,5.0,0.0002,0.0,210.0,89.0,0.0005914476100372455,0.0005914476100372455
15,1752814951,5.0,0.0,1.0,5.0,0.0002,0.0,210.0,89.0,0.0007218252997308539,0.0007218252997308539
16,1752814956,5.0,0.0,1.0,5.0,0.0002,0.0,210.0,89.0,0.0012783054897275705,0.0012783054897275705
17,1752814961,5.0,0.0,1.0,5.0,0.0002,0.0,210.0,89.0,0.09747088078885814,0.09747088078885814
18,1752814966,5.0,0.0,5.0,5.0,5.7e-05,0.0,210.0,1289.0,0.1713206708009667,0.1713206708009667
19,1752814971,5.0,0.0,5.0,5.0,5.7e-05,0.0,210.0,1289.0,0.17874246165058527,0.17874246165058527
20,1752814976,5.0,0.0,5.0,5.0,5.7e-05,0.0,210.0,1289.0,0.13001973686866414,0.13001973686866414
21,1752814981,5.0,0.0,5.0,5.0,5.7e-05,0.0,210.0,1289.0,0.1518384358132718,0.1518384358132718
22,1752814986,5.0,0.0,5.0,5.0,5.7e-05,0.0,210.0,1289.0,0.14777037640803128,0.14777037640803128
23,1752814991,5.0,0.0,5.0,5.0,5.7e-05,0.0,210.0,1289.0,0.12296756052558665,0.12296756052558665
24,1752814996,5.0,0.0,5.0,5.0,0.001403,0.004762,210.0,1288.0,0.12737575216863634,0.12737575216863634
25,1752815001,5.0,0.0,5.0,5.0,0.001403,0.004762,210.0,1288.0,0.12177877058598713,0.12177877058598713
26,1752815006,5.0,0.0,5.0,5.0,0.001403,0.004762,210.0,1288.0,0.12757941749113122,0.12757941749113122
27,1752815011,5.0,0.0,5.0,5.0,0.001403,0.004762,210.0,1288.0,0.003953436191108856,0.003953436191108856
28,1752815016,5.0,0.0,5.0,5.0,0.001403,0.004762,210.0,1288.0,0.0036696282802246385,0.0036696282802246385
29,1752815021,5.0,0.0,5.0,5.0,0.001403,0.004762,210.0,1288.0,0.003982169709866465,0.003982169709866465
30,1752815026,5.0,0.0,5.0,5.0,0.003216,0.005427,210.0,1288.0,0.003982152379847179,0.003982152379847179
31,1752815031,5.0,0.0,5.0,5.0,0.003216,0.005427,210.0,1288.0,0.00382749997830368,0.00382749997830368
32,1752815036,5.0,0.0,5.0,5.0,0.003216,0.005427,210.0,1288.0,0.003447823396557162,0.003447823396557162
33,1752815041,5.0,0.0,5.0,5.0,0.003216,0.005427,210.0,1288.0,0.003600618831436593,0.003600618831436593
34,1752815046,5.0,0.0,5.0,5.0,0.003216,0.005427,210.0,1288.0,0.0034942583239990855,0.0034942583239990855
35,1752815051,5.0,0.0,5.0,5.0,0.003216,0.005427,210.0,1288.0,0.0036130109761802706,0.0036130109761802706
36,1752815056,5.0,0.0,5.0,5.0,0.004774,0.005022,210.0,1288.0,0.003535995002426931,0.003535995002426931
37,1752815061,5.0,0.0,5.0,5.0,0.004774,0.005022,210.0,1288.0,0.003611356436745315,0.003611356436745315
38,1752815066,5.0,0.0,5.0,5.0,0.004774,0.005022,210.0,1288.0,0.0038764511500633553,0.0038764511500633553
39,1752815071,5.0,0.0,5.0,5.0,0.004774,0.005022,210.0,1288.0,0.004085992359819655,0.004085992359819655
40,1752815076,5.0,0.0,5.0,5.0,0.004774,0.005022,210.0,1288.0,0.004687922618819958,0.004687922618819958
41,1752815081,5.0,0.0,5.0,5.0,0.004774,0.005022,210.0,1288.0,0.007315774253080607,0.007315774253080607
42,1752815086,5.0,0.0,5.0,5.0,0.004923,0.002938,210.0,1288.0,0.007851416275249429,0.007851416275249429
43,1752815091,5.0,0.0,5.0,5.0,0.004923,0.002938,210.0,1288.0,0.009126617862894728,0.009126617862894728
44,1752815096,5.0,0.0,5.0,5.0,0.004923,0.002938,210.0,1288.0,0.00947606343431681,0.00947606343431681
45,1752815101,5.0,0.0,5.0,5.0,0.004923,0.002938,210.0,1288.0,0.009800386588467692,0.009800386588467692
46,1752815106,5.0,0.0,5.0,5.0,0.004923,0.002938,210.0,1288.0,0.010589230856906932,0.010589230856906932
47,1752815111,5.0,0.0,5.0,5.0,0.004923,0.002938,210.0,1288.0,0.010317434878183023,0.010317434878183023
48,1752815116,5.0,0.0,5.0,5.0,0.00406,0.002802,210.0,1288.0,0.010071008395094826,0.010071008395094826
49,1752815121,5.0,0.0,5.0,5.0,0.00406,0.002802,210.0,1288.0,0.00917908985496198,0.00917908985496198
50,1752815126,5.0,0.0,5.0,5.0,0.00406,0.002802,210.0,1288.0,0.008584587887410278,0.008584587887410278
51,1752815131,5.0,0.0,5.0,5.0,0.00406,0.002802,210.0,1288.0,0.007380059541747171,0.007380059541747171
52,1752815136,5.0,0.0,5.0,5.0,0.00406,0.002802,210.0,1288.0,0.006889940770890986,0.006889940770890986
53,1752815141,5.0,0.0,5.0,5.0,0.00406,0.002802,210.0,1288.0,0.006789421292340449,0.006789421292340449
54,1752815146,5.0,0.0,5.0,5.0,0.004261,0.00393,210.0,1288.0,0.006732573590667944,0.006732573590667944
55,1752815151,5.0,0.0,5.0,5.0,0.004261,0.00393,210.0,1288.0,0.006732573590667944,0.006732573590667944
56,1752815156,5.0,0.0,5.0,5.0,0.004261,0.00393,210.0,1288.0,0.006072263777210598,0.006072263777210598
57,1752815161,5.0,0.0,5.0,5.0,0.004261,0.00393,210.0,1288.0,0.006288332750464848,0.006288332750464848
58,1752815166,5.0,0.0,5.0,5.0,0.004261,0.00393,210.0,1288.0,0.0064483613176099675,0.0064483613176099675
59,1752815171,5.0,0.0,5.0,5.0,0.004261,0.00393,210.0,1288.0,0.006762235563006969,0.006762235563006969
60,1752815176,5.0,0.0,5.0,5.0,0.004633,0.009378,210.0,1288.0,0.007003942061724187,0.007003942061724187
